Name,Position,Number,Height,Weight,Age,Exp,College
Krys Barnes,ILB,40,6-2,229,27,6,UCLA
Bobby Brown III,DT,97,6-4,332,25,5,Texas A&M
Derick Brown,DT,95,6-5,320,27,6,Auburn
Claudin Cherelus,LB,53,6-2,230,26,3,Alcorn State
Jalen Coker,WR,18,6-3,213,24,2,Holy Cross
Austin Corbett,G,63,6-4,305,30,8,Nevada
Jake Curhan,T,74,6-6,316,27,5,California
Andy Dalton,QB,14,6-2,220,38,15,TCU
Rico Dowdle,RB,5,5-11,215,27,6,South Carolina
Ikem Ekwonu,T,79,6-4,320,25,4,NC State
Trevor Etienne,RS,23,5-8,198,21,R,Georgia
Akayleb Evans,CB,29,6-2,198,26,4,Missouri
Mitchell Evans,TE,84,6-5,258,22,R,Notre Dame
Ryan Fitzgerald,K,10,5-11,193,25,R,Florida State
Trevis Gipson,OLB,52,6-4,255,28,6,Tulsa
Jared Harrison-Hunte,DE,75,6-4,294,25,R,SMU
Jaycee Horn,CB,8,6-1,200,26,5,South Carolina
Jimmy Horn Jr.,WR,15,5-8,174,23,R,Colorado
Chuba Hubbard,RB,30,6-1,210,26,5,Oklahoma State
Robert Hunt,G,50,6-6,323,29,6,Louisiana Lafayette
Thomas Incoom,ST,48,6-2,265,27,3,Central Michigan
Cam Jackson,DT,92,6-6,328,23,R,Florida
Mike Jackson,CB,2,6-1,210,29,5,Miami
JJ Jansen,LS,44,6-2,235,40,18,Notre Dame
Xavier Legette,WR,17,6-3,227,25,2,South Carolina
Damien Lewis,G,68,6-2,327,28,6,LSU
Sam Martin,P,6,6-1,205,35,13,Appalachian State
Bam Martin-Scott,LB,57,6-2,231,25,R,South Carolina
Cade Mays,C,64,6-6,325,26,4,Tennessee
Tetairoa McMillan,WR,4,6-5,212,22,3,Arizona
James Mitchell,TE,85,6-4,249,26,3,Virginia Tech
Tre'von Moehrig,S,7,6-2,202,26,5,TCU
David Moore,WR,83,6-0,220,31,7,East Central
Taylor Moton,T,72,6-5,325,31,9,Western Michigan
Yosh Nijman,T,77,6-7,314,30,6,Virginia Tech
Maema Njongmeta,LB,55,6-0,230,24,2,Wisconsin
Lathan Ransom,S,22,6-0,206,23,R,Ohio State
LaBryan Ray,DE,93,6-4,290,28,3,Alabama
A'Shawn Robinson,DT,94,6-3,320,30,10,Alabama
Robert Rochell,CB,33,6-2,195,27,5,Central Arkansas
Christian Rozeboom,ILB,56,6-2,230,29,5,South Dakota State
Nick Samac,C,60,6-4,314,24,2,Michigan State
Nick Scott,FS,22,5-11,200,30,7,Penn State
Nic Scourton,OLB,11,6-2,257,21,R,Texas A&M
Isaiah Simmons,S,27,6-4,238,27,6,Clemson
Chau Smith-Wade,CB,26,5-11,176,23,2,Washington State
Brycen Tremayne,WR,87,6-4,212,26,1,Stanford
Tommy Tremble,TE,82,6-4,250,25,5,Notre Dame
Princely Umanmielen,OLB,3,6-4,244,23,R,Mississippi
Tershawn Wharton,DT,99,6-1,280,27,6,Missouri-Rolla
D.J. Wonnum,OLB,98,6-5,258,28,6,South Carolina
Bryce Young,QB,9,5-10,204,24,3,Alabama
Jonathon Brooks,RB,24,6-0,207,22,2,Texas
Jared Bartlett,LB,--,6-2,237,24,R,Cincinnati
Ja'Tyre Carter,G,65,6-3,311,27,3,Southern
Saahdiq Charles,G,78,6-4,321,26,5,LSU
Dan Chisena,WR,88,6-3,202,28,5,Penn State
Tyrek Funderburk,CB,--,6-0,185,25,2,Appalachian State
Joshua Gray,G,--,6-5,299,25,R,Oregon State
Montrell Johnson Jr.,RB,37,5-11,217,23,R,Florida
Jamil Muhammad,LB,49,6-1,260,25,R,USC
Mapalo Mwansa,LB,58,6-2,230,21,R,--
Bryce Pierre,TE,45,6-5,255,25,R,UCLA
Ja'seem Reed,WR,86,6-2,195,22,R,San Diego
Micheal Reid,CB,25,6-2,200,23,R,South Dekota
Demani Richardson,S,36,6-1,215,25,2,Texas A&M
Ainias Smith,WR,80,5-9,176,24,2,Texas A&M
Anthony Tyus III,RB,34,6-1,226,22,R,Ohio
Jacoby Windmon,LB,41,6-2,250,24,2,Michigan State
Popo Aumavae,DT,78,6-3,315,27,2,Oregon
Brady Christensen,OL,70,6-6,300,29,5,BYU
Patrick Jones II,OLB,91,6-4,264,27,5,Pittsburgh
Damarri Mathis,CB,28,5-11,195,26,4,Pittsburgh
Ja'Tavion Sanders,TE,0,6-4,252,22,2,Texas
Corey Thornton,CB,31,6-1,195,25,R,Louisville
Trevin Wallace,ILB,32,6-1,244,22,2,Kentucky
Chandler Zavala,G,62,6-3,322,26,3,NC State
